iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1004;4;1000;additive;preston;defined;0.1;0.1;0.25
1004;5;1000;additive;preston;defined;0.1;0.1;0.25
1004;6;1000;additive;preston;defined;0.1;0.1;0.25
1004;7;1000;additive;preston;defined;0.1;0.1;0.25
1004;8;1000;additive;preston;defined;0.1;0.1;0.25
1004;9;1000;additive;preston;defined;0.1;0.1;0.25
1005;1;1000;additive;preston;defined;0.1;0.1;0.25
1005;10;1000;additive;preston;defined;0.1;0.1;0.25
1005;11;1000;additive;preston;defined;0.1;0.1;0.25
1005;12;1000;additive;preston;defined;0.1;0.1;0.25
1005;13;1000;additive;preston;defined;0.1;0.1;0.25
1005;14;1000;additive;preston;defined;0.1;0.1;0.25
1005;15;1000;additive;preston;defined;0.1;0.1;0.25
1005;16;1000;additive;preston;defined;0.1;0.1;0.25
1005;17;1000;additive;preston;defined;0.1;0.1;0.25
1005;18;1000;additive;preston;defined;0.1;0.1;0.25
1005;19;1000;additive;preston;defined;0.1;0.1;0.25
1005;2;1000;additive;preston;defined;0.1;0.1;0.25
1005;20;1000;additive;preston;defined;0.1;0.1;0.25
1005;21;1000;additive;preston;defined;0.1;0.1;0.25
1005;22;1000;additive;preston;defined;0.1;0.1;0.25
1005;23;1000;additive;preston;defined;0.1;0.1;0.25
1005;24;1000;additive;preston;defined;0.1;0.1;0.25
1005;25;1000;additive;preston;defined;0.1;0.1;0.25
1005;26;1000;additive;preston;defined;0.1;0.1;0.25
1005;27;1000;additive;preston;defined;0.1;0.1;0.25
1005;28;1000;additive;preston;defined;0.1;0.1;0.25
1005;29;1000;additive;preston;defined;0.1;0.1;0.25
1005;3;1000;additive;preston;defined;0.1;0.1;0.25
1005;30;1000;additive;preston;defined;0.1;0.1;0.25
1005;4;1000;additive;preston;defined;0.1;0.1;0.25
1005;5;1000;additive;preston;defined;0.1;0.1;0.25
1005;6;1000;additive;preston;defined;0.1;0.1;0.25
1005;7;1000;additive;preston;defined;0.1;0.1;0.25
1005;8;1000;additive;preston;defined;0.1;0.1;0.25
1005;9;1000;additive;preston;defined;0.1;0.1;0.25
1006;1;1000;additive;preston;defined;0.1;0.1;0.25
1006;10;1000;additive;preston;defined;0.1;0.1;0.25
1006;11;1000;additive;preston;defined;0.1;0.1;0.25
1006;12;1000;additive;preston;defined;0.1;0.1;0.25
1006;13;1000;additive;preston;defined;0.1;0.1;0.25
1006;14;1000;additive;preston;defined;0.1;0.1;0.25
1006;15;1000;additive;preston;defined;0.1;0.1;0.25
1006;16;1000;additive;preston;defined;0.1;0.1;0.25
1006;17;1000;additive;preston;defined;0.1;0.1;0.25
1006;18;1000;additive;preston;defined;0.1;0.1;0.25
1006;19;1000;additive;preston;defined;0.1;0.1;0.25
1006;2;1000;additive;preston;defined;0.1;0.1;0.25
1006;20;1000;additive;preston;defined;0.1;0.1;0.25
1006;21;1000;additive;preston;defined;0.1;0.1;0.25
1006;22;1000;additive;preston;defined;0.1;0.1;0.25
1006;23;1000;additive;preston;defined;0.1;0.1;0.25
1006;24;1000;additive;preston;defined;0.1;0.1;0.25
1006;25;1000;additive;preston;defined;0.1;0.1;0.25
1006;26;1000;additive;preston;defined;0.1;0.1;0.25
1006;27;1000;additive;preston;defined;0.1;0.1;0.25
1006;28;1000;additive;preston;defined;0.1;0.1;0.25
1006;29;1000;additive;preston;defined;0.1;0.1;0.25
1006;3;1000;additive;preston;defined;0.1;0.1;0.25
1006;30;1000;additive;preston;defined;0.1;0.1;0.25
1006;4;1000;additive;preston;defined;0.1;0.1;0.25
1006;5;1000;additive;preston;defined;0.1;0.1;0.25
1006;6;1000;additive;preston;defined;0.1;0.1;0.25
1006;7;1000;additive;preston;defined;0.1;0.1;0.25
1006;8;1000;additive;preston;defined;0.1;0.1;0.25
1006;9;1000;additive;preston;defined;0.1;0.1;0.25
1007;1;1000;additive;preston;defined;0.1;0.1;0.25
1007;10;1000;additive;preston;defined;0.1;0.1;0.25
1007;11;1000;additive;preston;defined;0.1;0.1;0.25
1007;12;1000;additive;preston;defined;0.1;0.1;0.25
1007;13;1000;additive;preston;defined;0.1;0.1;0.25
1007;14;1000;additive;preston;defined;0.1;0.1;0.25
1007;15;1000;additive;preston;defined;0.1;0.1;0.25
1007;16;1000;additive;preston;defined;0.1;0.1;0.25
1007;17;1000;additive;preston;defined;0.1;0.1;0.25
1007;18;1000;additive;preston;defined;0.1;0.1;0.25
1007;19;1000;additive;preston;defined;0.1;0.1;0.25
1007;2;1000;additive;preston;defined;0.1;0.1;0.25
1007;20;1000;additive;preston;defined;0.1;0.1;0.25
1007;21;1000;additive;preston;defined;0.1;0.1;0.25
1007;22;1000;additive;preston;defined;0.1;0.1;0.25
1007;23;1000;additive;preston;defined;0.1;0.1;0.25
1007;24;1000;additive;preston;defined;0.1;0.1;0.25
1007;25;1000;additive;preston;defined;0.1;0.1;0.25
1007;26;1000;additive;preston;defined;0.1;0.1;0.25
1007;27;1000;additive;preston;defined;0.1;0.1;0.25
1007;28;1000;additive;preston;defined;0.1;0.1;0.25
1007;29;1000;additive;preston;defined;0.1;0.1;0.25
1007;3;1000;additive;preston;defined;0.1;0.1;0.25
1007;30;1000;additive;preston;defined;0.1;0.1;0.25
1007;4;1000;additive;preston;defined;0.1;0.1;0.25
1007;5;1000;additive;preston;defined;0.1;0.1;0.25
1007;6;1000;additive;preston;defined;0.1;0.1;0.25
1007;7;1000;additive;preston;defined;0.1;0.1;0.25
1007;8;1000;additive;preston;defined;0.1;0.1;0.25
1007;9;1000;additive;preston;defined;0.1;0.1;0.25
1008;1;1000;additive;preston;defined;0.1;0.1;0.25
1008;10;1000;additive;preston;defined;0.1;0.1;0.25
1008;11;1000;additive;preston;defined;0.1;0.1;0.25
1008;12;1000;additive;preston;defined;0.1;0.1;0.25
1008;13;1000;additive;preston;defined;0.1;0.1;0.25
1008;14;1000;additive;preston;defined;0.1;0.1;0.25
1008;15;1000;additive;preston;defined;0.1;0.1;0.25
1008;16;1000;additive;preston;defined;0.1;0.1;0.25
1008;17;1000;additive;preston;defined;0.1;0.1;0.25
1008;18;1000;additive;preston;defined;0.1;0.1;0.25
1008;19;1000;additive;preston;defined;0.1;0.1;0.25
1008;2;1000;additive;preston;defined;0.1;0.1;0.25
1008;20;1000;additive;preston;defined;0.1;0.1;0.25
1008;21;1000;additive;preston;defined;0.1;0.1;0.25
1008;22;1000;additive;preston;defined;0.1;0.1;0.25
1008;23;1000;additive;preston;defined;0.1;0.1;0.25
1008;24;1000;additive;preston;defined;0.1;0.1;0.25
1008;25;1000;additive;preston;defined;0.1;0.1;0.25
1008;26;1000;additive;preston;defined;0.1;0.1;0.25
1008;27;1000;additive;preston;defined;0.1;0.1;0.25
1008;28;1000;additive;preston;defined;0.1;0.1;0.25
1008;29;1000;additive;preston;defined;0.1;0.1;0.25
1008;3;1000;additive;preston;defined;0.1;0.1;0.25
1008;30;1000;additive;preston;defined;0.1;0.1;0.25
1008;4;1000;additive;preston;defined;0.1;0.1;0.25
1008;5;1000;additive;preston;defined;0.1;0.1;0.25
1008;6;1000;additive;preston;defined;0.1;0.1;0.25
1008;7;1000;additive;preston;defined;0.1;0.1;0.25
1008;8;1000;additive;preston;defined;0.1;0.1;0.25
1008;9;1000;additive;preston;defined;0.1;0.1;0.25
1009;1;1000;additive;preston;defined;0.1;0.1;0.25
1009;10;1000;additive;preston;defined;0.1;0.1;0.25
1009;11;1000;additive;preston;defined;0.1;0.1;0.25
1009;12;1000;additive;preston;defined;0.1;0.1;0.25
1009;13;1000;additive;preston;defined;0.1;0.1;0.25
1009;14;1000;additive;preston;defined;0.1;0.1;0.25
1009;15;1000;additive;preston;defined;0.1;0.1;0.25
1009;16;1000;additive;preston;defined;0.1;0.1;0.25
1009;17;1000;additive;preston;defined;0.1;0.1;0.25
