iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
34;350;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
35;351;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;352;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;353;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;354;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;355;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;356;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;357;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;358;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
35;359;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
3;36;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
35;360;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
36;361;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;362;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;363;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;364;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;365;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;366;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;367;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;368;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
36;369;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
3;37;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
36;370;1;8000;additive;logistic;0.05;0.0;0.1;0.5;0.25
37;371;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;372;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;373;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;374;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;375;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;376;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;377;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;378;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
37;379;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
3;38;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
37;380;1;8000;additive;logistic;0.05;0.05;0.1;0.5;0.25
38;381;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;382;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;383;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;384;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;385;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;386;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;387;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;388;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
38;389;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
3;39;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
38;390;1;8000;additive;logistic;0.05;0.25;0.1;0.5;0.25
39;391;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;392;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;393;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;394;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;395;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;396;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;397;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;398;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
39;399;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
0;4;1;8000;additive;logistic;0.0;0.0;0.1;0.1;0.25
3;40;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
39;400;1;8000;additive;logistic;0.05;0.5;0.1;0.5;0.25
40;401;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;402;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;403;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;404;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;405;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;406;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;407;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;408;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
40;409;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
4;41;1;8000;additive;logistic;0.05;0.0;0.1;0.1;0.25
40;410;1;8000;additive;logistic;0.1;0.0;0.1;0.5;0.25
41;411;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;412;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;413;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;414;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;415;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;416;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;417;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;418;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
41;419;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
4;42;1;8000;additive;logistic;0.05;0.0;0.1;0.1;0.25
41;420;1;8000;additive;logistic;0.1;0.05;0.1;0.5;0.25
42;421;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;422;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;423;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;424;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;425;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;426;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;427;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;428;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
42;429;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
4;43;1;8000;additive;logistic;0.05;0.0;0.1;0.1;0.25
42;430;1;8000;additive;logistic;0.1;0.25;0.1;0.5;0.25
43;431;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;432;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;433;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;434;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;435;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;436;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;437;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;438;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
43;439;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
4;44;1;8000;additive;logistic;0.05;0.0;0.1;0.1;0.25
43;440;1;8000;additive;logistic;0.1;0.5;0.1;0.5;0.25
44;441;1;8000;additive;logistic;0.2;0.0;0.1;0.5;0.25
44;442;1;8000;additive;logistic;0.2;0.0;0.1;0.5;0.25
