iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
10010;10010;1;1997.0;51.0;14280;[0.09089635854341736, 0.3919467787114846, 0.40294117647058825, 0.1142156862745098];0.0;0.0;0.0;1.0;24.821891876464854;4.25465681426021
10011;10011;1;1974.0;51.0;14296;[0.08456911024062674, 0.4010912143256855, 0.41291270285394516, 0.10142697257974259];0.0;0.0;0.0;1.0;24.7747355490643;4.161579850822745
10012;10012;1;2072.0;52.0;14804;[0.0883544987841124, 0.39746014590651174, 0.4050932180491759, 0.10909213726019995];0.0;0.0;0.0;1.0;24.806803138937468;4.254002453655988
10013;10013;1;2025.0;51.0;14318;[0.08897890766866881, 0.39467802765749405, 0.404106718815477, 0.1122363458583601];0.0;0.0;0.0;1.0;24.77325670855748;4.246884661636704
10014;10014;1;1995.0;51.0;14987;[0.0802695669580303, 0.37672649629679056, 0.4184293053980116, 0.12457463134716755];0.0;0.0;0.0;1.0;25.049993079219103;4.225993490622875
10015;10015;1;2024.0;51.0;14615;[0.0992815600410537, 0.3995894628806021, 0.4013684570646596, 0.09976052001368457];0.0;0.0;0.0;1.0;24.571637521692622;4.25546266308039
10016;10016;1;1974.0;51.0;14722;[0.09706561608477109, 0.42032332563510394, 0.3928134764298329, 0.08979758185029207];0.0;0.0;0.0;1.0;24.46564335663132;4.200015263337955
10017;10017;1;1979.0;51.0;15036;[0.026602819898909284, 0.20989624900239426, 0.4942803937217345, 0.26922053737696194];0.0;0.0;0.0;1.0;27.11234169400722;3.964067991601268
10018;10018;1;1962.0;51.0;14999;[0.03006867124474965, 0.23174878325221682, 0.5243016201080072, 0.21388092539502634];0.0;0.0;0.0;1.0;26.639710768651053;3.913003491301292
10019;10019;1;1963.0;51.0;14951;[0.07725235770182597, 0.3912781753728848, 0.4320781218647582, 0.09939134506053107];0.0;0.0;0.0;1.0;24.864960288174817;4.0778537203805305
1002;1002;1;1964.0;51.0;14649;[0.08089289371288143, 0.38091337292647964, 0.4221448563041846, 0.11604887705645436];0.0;0.0;0.0;1.0;24.99168446641676;4.178272257185073
10020;10020;1;1964.0;51.0;14355;[0.05851619644723093, 0.28930686172065484, 0.47014977359804944, 0.18202716823406478];0.0;0.0;0.0;1.0;25.992794084052203;4.233069089411178
10021;10021;1;2014.0;51.0;14697;[0.0821256038647343, 0.3953868136354358, 0.41151255358236377, 0.11097502891746615];0.0;0.0;0.0;1.0;24.875471893796533;4.170180960996161
10022;10022;1;1964.0;51.0;14700;[0.02312925170068027, 0.18326530612244898, 0.4897278911564626, 0.30387755102040814];0.0;0.0;0.0;1.0;27.43170611620198;3.9157334560588373
10023;10023;1;1979.0;51.0;14684;[0.0775674203214383, 0.38913102696812857, 0.4201852356306184, 0.11311631707981476];0.0;0.0;0.0;1.0;24.931361141754987;4.15689959122657
10024;10024;1;2000.0;51.0;14756;[0.07413933315261588, 0.374085117918135, 0.42721604770940635, 0.12455950121984277];0.0;0.0;0.0;1.0;25.092004910236206;4.156233959673413
10025;10025;1;1987.0;51.0;14488;[0.0693677526228603, 0.40454168967421317, 0.42642186637217006, 0.09966869133075648];0.0;0.0;0.0;1.0;24.909996393480867;4.0483254439638845
10026;10026;1;2010.0;51.0;14993;[0.07076635763356233, 0.388981524711532, 0.4327352764623491, 0.10751684119255653];0.0;0.0;0.0;1.0;24.990552067903046;4.079243564716547
