iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
10006;1;1978.0;51.0;14606;[0.07209366013966863, 0.48623853211009177, 0.3586882103245242, 0.08297959742571547];0.0;0.0;0.01389423974418073;0.0;24.41044252127254;4.042779037818726
10007;1;1965.0;51.0;14707;[0.035153328347045626, 0.39586591419052153, 0.42279186781804584, 0.14618888964438703];0.0;0.0;0.23998662473117505;0.0;25.72360949078725;4.006120743096631
10008;1;1988.0;51.0;14994;[0.03974923302654395, 0.40116046418567425, 0.42096838735494196, 0.1381219154328398];0.0;0.0;0.23892930282359823;0.0;25.5954600655431;4.0371525871238685
10009;1;1974.0;51.0;14577;[0.05536118542910064, 0.41805584139397683, 0.4021403580983742, 0.1244426150785484];0.0;0.0;0.2995253432785152;0.0;25.209733378796418;4.170911690714197
1001;1;2033.0;51.0;14850;[0.01946127946127946, 0.3047138047138047, 0.4577777777777778, 0.21804713804713804];0.0;0.0;0.36809105130232317;0.0;26.816421083047796;4.0602083695627895
10010;1;2012.0;51.0;14866;[0.03692990717072515, 0.38981568680209877, 0.4277546078299475, 0.14549979819722858];0.0;0.0;0.28611240482356;0.0;25.723639480324447;4.039086988414302
10011;1;2055.0;51.0;14852;[0.03864799353622408, 0.3372609749528683, 0.4091031510907622, 0.21498788042014544];0.0;0.0;0.5902323711366748;0.0;26.442048579565707;4.4951882687576985
10012;1;1969.0;51.0;14701;[0.04775185361540031, 0.4426229508196721, 0.39453098428678324, 0.11509421127814434];0.0;0.0;0.29842802928003026;0.0;25.142621642940824;4.0110355649272895
10013;1;2001.0;51.0;14451;[0.04373399764722165, 0.33201854542938203, 0.4002491177081171, 0.22399833921527923];0.0;0.0;0.617451663423866;0.0;26.44743870462009;4.600904369157526
10014;1;1967.0;51.0;14786;[0.058433653455971866, 0.4452860814283782, 0.38340321926146353, 0.1128770458541864];0.0;0.0;0.2948944805575968;0.0;24.979611276322615;4.140197433677839
10015;1;2036.0;51.0;14551;[0.0314754999656381, 0.2926946601608137, 0.4330286578242045, 0.2428011820493437];0.0;0.0;0.5725011684991931;0.0;26.91445783706971;4.369639454998885
10016;1;2000.0;51.0;14491;[0.031812849354771924, 0.30998550824649784, 0.4244703609136706, 0.2337312814850597];0.0;0.0;0.5494886858472061;0.0;26.76889909814125;4.4035157422630045
10017;1;2000.0;51.0;14698;[0.0546332834399238, 0.45291876445774937, 0.38991699550959313, 0.1025309565927337];0.0;0.0;0.07580424988973442;0.0;24.92168584524101;4.012194728197729
10018;1;2026.0;51.0;14360;[0.057729805013927576, 0.46511142061281335, 0.3782033426183844, 0.09895543175487465];0.0;0.0;0.07831248144926337;0.0;24.793423423481567;4.027414763544419
10019;1;1958.0;51.0;14589;[0.01610802659538008, 0.2576598807320584, 0.4460895195009939, 0.2801425731715676];0.0;0.0;0.4885584231021747;0.0;27.56067021622209;4.221073031751132
1002;1;1947.0;51.0;14894;[0.01027259299046596, 0.20102054518598092, 0.4448771317308983, 0.3438297300926548];0.0;0.0;0.416431631087674;0.0;28.313178797900786;4.15198924498632
10020;1;1979.0;51.0;14535;[0.05414516683866529, 0.4475404196766426, 0.39243206054351565, 0.10588235294117647];0.0;0.0;0.07860367057306132;0.0;24.972046213051286;4.004615295640859
10021;1;1987.0;51.0;15019;[0.007257473866435848, 0.18130368200279645, 0.4441707170916839, 0.36726812703908385];0.0;0.0;0.4842275948474641;0.0;28.643132397091026;4.165442936507813
10022;1;1938.0;51.0;14977;[0.04954263203578821, 0.4376043266341724, 0.3977432062495827, 0.1151098350804567];0.0;0.0;0.07701288211786421;0.0;25.124635048143773;4.047757622006461
10023;1;1993.0;51.0;14451;[0.010587502594976126, 0.19022904989274098, 0.42287730952875235, 0.3763061379835306];0.0;0.0;0.5229870613589418;0.0;28.631481829891758;4.359375644965245
10024;1;1974.0;51.0;15055;[0.005247426104284291, 0.14387246761873132, 0.3946861507804716, 0.45619395549651276];0.0;0.0;0.4731366417997067;0.0;29.47064766266496;4.24498822754094
10025;1;2015.0;51.0;14742;[0.017161850495183827, 0.2981956315289649, 0.46621896621896625, 0.2184235517568851];0.0;0.0;0.3222782611104192;0.0;26.911594509254446;3.9871734352663584
10026;1;1960.0;51.0;14808;[0.015869800108049704, 0.2871420853592653, 0.46279038357644514, 0.23419773095623986];0.0;0.0;0.3412675276983178;0.0;27.08340625899002;4.004006104578334
