iteration;replicate;init_pop;fertility_type;initial_genetic_variance;random_mating;fertility_factor
1031;1;8000;additive;0.17864083875861098;0.9172816775172297;0.162815496744835
1032;1;8000;additive;0.178140838758611;0.6682816775172444;0.17211549674483426
1033;1;8000;additive;0.17764083875861097;0.4192816775172233;0.18141549674483487
1034;1;8000;additive;0.177140838758611;0.17028167751723822;0.1907154967448341
1035;1;8000;additive;0.17664083875861103;0.0787183224827468;0.20001549674483338
1036;1;8000;additive;0.17614083875861097;0.3277183224827681;0.20931549674483396
1037;1;8000;additive;0.17564083875861103;0.5767183224827532;0.2186154967448332
1038;1;8000;additive;0.17514083875861097;0.8257183224827744;0.22791549674483383
1039;1;8000;additive;0.17464083875861103;0.9252816775172406;0.23721549674483308
104;1;8000;additive;0.35785916124138895;0.25971832248277915;0.05828450325516652
1040;1;8000;additive;0.17414083875861097;0.6762816775172192;0.24651549674483506
1041;1;8000;additive;0.173640838758611;0.42728167751723417;0.2558154967448343
1042;1;8000;additive;0.17314083875861103;0.178281677517249;0.26511549674483353
1043;1;8000;additive;0.172640838758611;0.0707183224827721;0.2744154967448342
1044;1;8000;additive;0.17214083875861103;0.3197183224827572;0.28371549674483343
1045;1;8000;additive;0.17164083875861097;0.5687183224827785;0.29301549674483407
1046;1;8000;additive;0.17114083875861102;0.8177183224827635;0.2976845032551668
1047;1;8000;additive;0.17064083875861097;0.9332816775172152;0.2883845032551662
1048;1;8000;additive;0.17014083875861102;0.6842816775172301;0.27908450325516687
1049;1;8000;additive;0.16964083875861097;0.43528167751720886;0.2697845032551649
105;1;8000;additive;0.35835916124138895;0.5087183224827778;0.04898450325516658
1050;1;8000;additive;0.169140838758611;0.18628167751722374;0.26048450325516564
1051;1;8000;additive;0.16864083875861102;0.06271832248276127;0.2511845032551664
1052;1;8000;additive;0.168140838758611;0.31171832248278253;0.24188450325516575
1053;1;8000;additive;0.16764083875861102;0.5607183224827677;0.23258450325516652
1054;1;8000;additive;0.16714083875861097;0.8097183224827889;0.2232845032551659
1055;1;8000;additive;0.16664083875861102;0.941281677517226;0.21398450325516669
1056;1;8000;additive;0.16614083875861096;0.6922816775172048;0.20468450325516607
1057;1;8000;additive;0.16564083875861102;0.44328167751721975;0.19538450325516682
1058;1;8000;additive;0.16514083875861096;0.1942816775171985;0.18608450325516485
1059;1;8000;additive;0.164640838758611;0.05471832248278652;0.17678450325516562
106;1;8000;additive;0.35885916124138895;0.7577183224827809;0.03968450325516664
1060;1;8000;additive;0.16414083875861102;0.30371832248277164;0.16748450325516634
1061;1;8000;additive;0.163640838758611;0.552718322482793;0.15818450325516573
1062;1;8000;additive;0.16314083875861102;0.801718322482778;0.14888450325516647
1063;1;8000;additive;0.16264083875861096;0.9492816775172007;0.1395845032551659
1064;1;8000;additive;0.16214083875861102;0.7002816775172157;0.1302845032551666
1065;1;8000;additive;0.16164083875861096;0.45128167751719445;0.120984503255166
1066;1;8000;additive;0.16114083875861102;0.20228167751720932;0.11168450325516675
1067;1;8000;additive;0.16064083875861102;0.04671832248277569;0.10238450325516614
1068;1;8000;additive;0.160140838758611;0.29571832248276075;0.09308450325516554
1069;1;8000;additive;0.15964083875861101;0.5447183224827459;0.08378450325516627
107;1;8000;additive;0.359359161241389;0.9932816775172206;0.03038450325516673
1070;1;8000;additive;0.159140838758611;0.7937183224827671;0.07448450325516569
1071;1;8000;additive;0.158640838758611;0.9572816775172478;0.06518450325516643
1072;1;8000;additive;0.158140838758611;0.7082816775172266;0.05588450325516582
1073;1;8000;additive;0.157640838758611;0.4592816775172415;0.04658450325516656
