iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1012;1;2064.0;51.0;14604;[0.05909339906874829, 0.4774034511092851, 0.37530813475760066, 0.08819501506436593];0.0;0.0;0.21654225832549404;0.0;24.637177307082773;3.96741167971355
1013;1;2032.0;51.0;13199;[0.08182438063489658, 0.4994317751344799, 0.3463898780210622, 0.07235396620956133];0.0;0.0;0.2035906117882822;0.0;24.14448224626532;4.028529577756846
1014;1;2084.0;51.0;14430;[0.0772002772002772, 0.5061677061677061, 0.3422037422037422, 0.07442827442827443];0.0;0.0;0.19250261049955597;0.0;24.188929828421823;4.020848648024415
1015;1;2003.0;51.0;14385;[0.07257559958289886, 0.48849496002780673, 0.3578727841501564, 0.08105665623913799];0.0;0.0;0.18914563088605907;0.0;24.37307605648662;4.050447954224253
1016;1;2009.0;51.0;14968;[0.06560662747194014, 0.4774853019775521, 0.3625066809192945, 0.09440138963121325];0.0;0.0;0.18731129405250102;0.0;24.601539595173207;4.058872449678001
1017;1;1998.0;51.0;14305;[0.04676686473261098, 0.43593149248514507, 0.40768961901433065, 0.10961202376791332];0.0;0.0;0.18717482378080275;0.0;25.149824211596197;3.950249581328602
1018;1;1994.0;51.0;14285;[0.060693034651732584, 0.45558277913895695, 0.3821491074553728, 0.1015750787539377];0.0;0.0;0.2052061786005881;0.0;24.830020327122988;4.051231764715274
1019;1;2006.0;51.0;14687;[0.05338054061414857, 0.436099952338803, 0.39749438278749916, 0.11302512425954926];0.0;0.0;0.20409836543712745;0.0;25.0771875627764;4.057194641765839
102;1;1971.0;51.0;14354;[0.02340810923784311, 0.2955273791277693, 0.4503274348613627, 0.23073707677302494];0.0;0.0;0.4090689335075841;0.0;26.917802861013612;4.163446824547713
1020;1;1996.0;51.0;14964;[0.05225875434375835, 0.4485431702753275, 0.3935445068163593, 0.10565356856455493];0.0;0.0;0.1971892984818976;0.0;24.976302765139778;3.995203146122522
1021;1;1962.0;51.0;14958;[0.050474662388019786, 0.44150287471587113, 0.40306190667201497, 0.10496055622409413];0.0;0.0;0.195742080722019;0.0;25.0528438365983;3.9745522784139595
1022;1;2015.0;51.0;14491;[0.05327444620799117, 0.4443447657166517, 0.39293354495894, 0.10944724311641708];0.0;0.0;0.19070235882671335;0.0;25.01714962597372;4.040708531783781
1023;1;2024.0;51.0;14866;[0.04688551056101171, 0.4223059330014799, 0.41329207587784206, 0.11751648055966635];0.0;0.0;0.1719181941862979;0.0;25.259981468181117;4.016602417965832
1024;1;1956.0;51.0;14362;[0.053404818270435875, 0.45857122963375574, 0.3889430441442696, 0.09908090795153879];0.0;0.0;0.18296570651896882;0.0;24.87914230662195;4.012265350419314
1025;1;2047.0;51.0;14587;[0.034825529581133885, 0.3947350380475766, 0.4347706862274628, 0.1356687461438267];0.0;0.0;0.18420470747480827;0.0;25.686434207696905;3.9628736267340683
1026;1;1955.0;51.0;14368;[0.039810690423162584, 0.3926781737193764, 0.42037861915367486, 0.1471325167037862];0.0;0.0;0.1957463874163011;0.0;25.680770828799922;4.078399552625549
1027;1;1983.0;51.0;14333;[0.03390776529686737, 0.3877764599176725, 0.42733551943068443, 0.1509802553547757];0.0;0.0;0.1980744764469933;0.0;25.838436296779868;4.0383909549652
