iteration;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
10017;1;8000;additive;logistic;0.0765380859375;0.1334228515625;0.1;0.411376953125;0.25
10018;1;8000;additive;logistic;0.0765380859375;0.1334228515625;0.1;0.283447265625;0.25
10019;1;8000;additive;logistic;0.4266357421875;0.1334228515625;0.1;0.411376953125;0.25
1002;1;8000;additive;logistic;0.3638916015625;0.2303466796875;0.1;0.364013671875;0.25
10020;1;8000;additive;logistic;0.0765380859375;0.2332763671875;0.1;0.411376953125;0.25
10021;1;8000;additive;logistic;0.4266357421875;0.2332763671875;0.1;0.411376953125;0.25
10022;1;8000;additive;logistic;0.0765380859375;0.2332763671875;0.1;0.283447265625;0.25
10023;1;8000;additive;logistic;0.4266357421875;0.1334228515625;0.1;0.283447265625;0.25
10024;1;8000;additive;logistic;0.4266357421875;0.2332763671875;0.1;0.283447265625;0.25
10025;1;8000;additive;logistic;0.3265380859375;0.3834228515625;0.1;0.911376953125;0.25
10026;1;8000;additive;logistic;0.3265380859375;0.3834228515625;0.1;0.783447265625;0.25
10027;1;8000;additive;logistic;0.1766357421875;0.3834228515625;0.1;0.911376953125;0.25
10028;1;8000;additive;logistic;0.3265380859375;0.4832763671875;0.1;0.911376953125;0.25
10029;1;8000;additive;logistic;0.1766357421875;0.4832763671875;0.1;0.911376953125;0.25
1003;1;8000;additive;logistic;0.4605712890625;0.2303466796875;0.1;0.758544921875;0.25
10030;1;8000;additive;logistic;0.3265380859375;0.4832763671875;0.1;0.783447265625;0.25
10031;1;8000;additive;logistic;0.1766357421875;0.3834228515625;0.1;0.783447265625;0.25
10032;1;8000;additive;logistic;0.1766357421875;0.4832763671875;0.1;0.783447265625;0.25
10033;1;8000;additive;logistic;0.2015380859375;0.0084228515625;0.1;0.661376953125;0.25
10034;1;8000;additive;logistic;0.2015380859375;0.0084228515625;0.1;0.033447265625;0.25
10035;1;8000;additive;logistic;0.0516357421875;0.0084228515625;0.1;0.661376953125;0.25
10036;1;8000;additive;logistic;0.2015380859375;0.3582763671875;0.1;0.661376953125;0.25
10037;1;8000;additive;logistic;0.0516357421875;0.3582763671875;0.1;0.661376953125;0.25
10038;1;8000;additive;logistic;0.2015380859375;0.3582763671875;0.1;0.033447265625;0.25
10039;1;8000;additive;logistic;0.0516357421875;0.0084228515625;0.1;0.033447265625;0.25
1004;1;8000;additive;logistic;0.3638916015625;0.0826416015625;0.1;0.758544921875;0.25
10040;1;8000;additive;logistic;0.0516357421875;0.3582763671875;0.1;0.033447265625;0.25
10041;1;8000;additive;logistic;0.4515380859375;0.2584228515625;0.1;0.161376953125;0.25
10042;1;8000;additive;logistic;0.4515380859375;0.2584228515625;0.1;0.533447265625;0.25
10043;1;8000;additive;logistic;0.3016357421875;0.2584228515625;0.1;0.161376953125;0.25
10044;1;8000;additive;logistic;0.4515380859375;0.1082763671875;0.1;0.161376953125;0.25
10045;1;8000;additive;logistic;0.3016357421875;0.1082763671875;0.1;0.161376953125;0.25
10046;1;8000;additive;logistic;0.4515380859375;0.1082763671875;0.1;0.533447265625;0.25
10047;1;8000;additive;logistic;0.3016357421875;0.2584228515625;0.1;0.533447265625;0.25
10048;1;8000;additive;logistic;0.3016357421875;0.1082763671875;0.1;0.533447265625;0.25
10049;1;8000;additive;logistic;0.0452880859375;0.0396728515625;0.1;0.223876953125;0.25
1005;1;8000;additive;logistic;0.4605712890625;0.0826416015625;0.1;0.758544921875;0.25
10050;1;8000;additive;logistic;0.0452880859375;0.0396728515625;0.1;0.845947265625;0.25
10051;1;8000;additive;logistic;0.0828857421875;0.0396728515625;0.1;0.223876953125;0.25
10052;1;8000;additive;logistic;0.0452880859375;0.0145263671875;0.1;0.223876953125;0.25
10053;1;8000;additive;logistic;0.0828857421875;0.0145263671875;0.1;0.223876953125;0.25
10054;1;8000;additive;logistic;0.0452880859375;0.0145263671875;0.1;0.845947265625;0.25
10055;1;8000;additive;logistic;0.0828857421875;0.0396728515625;0.1;0.845947265625;0.25
10056;1;8000;additive;logistic;0.0828857421875;0.0145263671875;0.1;0.845947265625;0.25
10057;1;8000;additive;logistic;0.2952880859375;0.2896728515625;0.1;0.723876953125;0.25
10058;1;8000;additive;logistic;0.2952880859375;0.2896728515625;0.1;0.345947265625;0.25
