iteration;replicate;time;last_generation;population;bmi_category_prop;am;kid-father-cor;kid-mother-cor
1008;1;3393.0;100.0;5937;[0.1214418056257369, 0.2720229071921846, 0.3552299140980293, 0.2513053730840492];0.16637851768111903;0.4288308553630559;0.41560874978095264
1009;1;3345.0;100.0;6001;[0.15664055990668221, 0.2604565905682386, 0.32677887018830193, 0.2561239793367772];0.04014425985503249;0.4388193821719866;0.39789767654579045
101;1;3370.0;100.0;5816;[0.001547455295735901, 0.11141678129298486, 0.41987620357634114, 0.4671595598349381];0.004886195207724771;0.45620665677947625;0.43528735395108203
1010;1;3459.0;101.0;5983;[0.11432391776700652, 0.2704328931973926, 0.3660371051312051, 0.24920608390439578];0.3149129721532745;0.4864322293831336;0.5034596194633943
1011;1;3452.0;100.0;5886;[0.100067957866123, 0.263846415222562, 0.38260278627251104, 0.25348284063880394];0.47587025283617473;0.5300046071420403;0.509455591738061
1012;1;3493.0;100.0;5838;[0.10757108598835217, 0.25967797190818775, 0.38369304556354916, 0.24905789653991092];0.6923314310682244;0.590095243826241;0.5849514812197116
1013;1;3512.0;100.0;5779;[0.10122858626059872, 0.25506142931302994, 0.3976466516698391, 0.24606333275653228];0.8855999777671366;0.6061153470668526;0.6020299033140877
1014;1;3438.0;100.0;5913;[0.12125824454591577, 0.2704211060375444, 0.3752748181971926, 0.2330458312193472];0.5175707316082833;0.5522860316410576;0.5439575854661366
1015;1;3505.0;100.0;5890;[0.11765704584040747, 0.26977928692699493, 0.37572156196943973, 0.23684210526315788];0.41367631635936636;0.49153349848996675;0.5193348289187224
1016;1;3535.0;100.0;5973;[0.14197220827055082, 0.25933366817344716, 0.347564038171773, 0.25113008538422904];0.16150975946866067;0.42803228479150895;0.43259119106044686
1017;1;3480.0;100.0;5835;[0.13350471293916025, 0.25072836332476434, 0.3444730077120823, 0.27129391602399316];0.026057140332235357;0.41555174880215195;0.38632401929088495
1018;1;3483.0;100.0;5917;[0.1561602163258408, 0.27513942876457664, 0.34257224945073517, 0.2261281054588474];0.22709792885442126;0.49023775873378655;0.4428407239395335
1019;1;3533.0;100.0;5986;[0.13280988974273306, 0.29736050785165385, 0.34998329435349146, 0.21984630805212163];0.4291256665774105;0.5148403776439904;0.5281676187092511
102;1;3379.0;100.0;5933;[0.006573403000168549, 0.11933254677229058, 0.41125905949772457, 0.46283499072981626];0.2170278870749968;0.5578032135612921;0.5206179187699856
1020;1;3559.0;100.0;5963;[0.13835317793057186, 0.3050477947341942, 0.35301022975012575, 0.20358879758510817];0.6907010609077754;0.5728431805779298;0.5743668423064779
1021;1;3522.0;100.0;6024;[0.1098937583001328, 0.2798804780876494, 0.3806440903054449, 0.2295816733067729];0.9488302072154201;0.6583821172706104;0.6598713313277715
1022;1;3622.0;100.0;5827;[0.14072421486185002, 0.30478805560322636, 0.3605628968594474, 0.19392483267547622];0.6887184503451449;0.5992912680242886;0.6005218349317958
1023;1;3516.0;100.0;5840;[0.14434931506849316, 0.3089041095890411, 0.33373287671232876, 0.213013698630137];0.4308155707205443;0.5272267204044024;0.5445422050433938
1024;1;3570.0;100.0;5935;[0.14945240101095197, 0.27733782645324345, 0.3438921651221567, 0.22931760741364784];0.1949302960033057;0.4619604944245845;0.453834702159475
1025;1;3646.0;100.0;5879;[0.18574587514883484, 0.28065997618642624, 0.30311277428134037, 0.23048137438339852];0.03048887211356622;0.4009022871546775;0.4099925435311678
1026;1;3591.0;100.0;6029;[0.17681207497097362, 0.30767954884723836, 0.31298722839608556, 0.20252114778570243];0.2574969418899144;0.46699960300638255;0.4769696828514732
1027;1;3590.0;100.0;5973;[0.17344717897204084, 0.3211116691779675, 0.32211618951950444, 0.1833249623304872];0.5144555620840572;0.556340367613056;0.5640591365335814
1028;1;3566.0;100.0;5896;[0.15620759837177747, 0.30257801899592945, 0.34701492537313433, 0.19419945725915874];0.7548681427893222;0.6219949680931356;0.6245681726089208
1029;1;3622.0;100.0;5864;[0.16030013642564803, 0.32520463847203274, 0.3393587994542974, 0.17513642564802182];0.9298469137518371;0.6629791719659411;0.6563474469598806
103;1;3374.0;100.0;5823;[0.010132234243517087, 0.1035548686244204, 0.4422119182551949, 0.4441009788768676];0.4248871540785755;0.6400704132892008;0.65270416016128
1030;1;3538.0;100.0;5870;[0.15741056218057922, 0.30647359454855194, 0.34821124361158434, 0.1879045996592845];0.6395596862525377;0.587664144842672;0.5878972429025815
