iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1020;1;1000;additive;preston;defined;0.43381090967338676;0.06679272688442753;0.13092436386934334
1020;2;1000;additive;preston;defined;0.43381090967338676;0.06679272688442753;0.13092436386934334
1021;1;1000;additive;preston;defined;0.6205609096733756;0.06629272688442758;0.1402243638693426
1021;2;1000;additive;preston;defined;0.6205609096733756;0.06629272688442758;0.1402243638693426
1022;1;1000;additive;preston;defined;0.6926890903266085;0.06579272688442755;0.14952436386934456
1022;2;1000;additive;preston;defined;0.6926890903266085;0.06579272688442755;0.14952436386934456
1023;1;1000;additive;preston;defined;0.5059390903266197;0.06529272688442761;0.15882436386934382
1023;2;1000;additive;preston;defined;0.5059390903266197;0.06529272688442761;0.15882436386934382
1024;1;1000;additive;preston;defined;0.3191890903266037;0.0647927268844275;0.1681243638693444
1024;2;1000;additive;preston;defined;0.3191890903266037;0.0647927268844275;0.1681243638693444
1025;1;1000;additive;preston;defined;0.13243909032661494;0.06429272688442755;0.17742436386934365
1025;2;1000;additive;preston;defined;0.13243909032661494;0.06429272688442755;0.17742436386934365
1026;1;1000;additive;preston;defined;0.054310909673373875;0.06379272688442758;0.18672436386934294
1026;2;1000;additive;preston;defined;0.054310909673373875;0.06379272688442758;0.18672436386934294
1027;1;1000;additive;preston;defined;0.24106090967338986;0.06329272688442747;0.19602436386934355
1027;2;1000;additive;preston;defined;0.24106090967338986;0.06329272688442747;0.19602436386934355
1028;1;1000;additive;preston;defined;0.42781090967337865;0.06279272688442747;0.20532436386934277
1028;2;1000;additive;preston;defined;0.42781090967337865;0.06279272688442747;0.20532436386934277
1029;1;1000;additive;preston;defined;0.6145609096733946;0.062292726884427524;0.2146243638693434
1029;2;1000;additive;preston;defined;0.6145609096733946;0.062292726884427524;0.2146243638693434
103;1;1000;additive;preston;defined;0.18406090967335598;0.4747072731155725;0.002824363869343388
103;2;1000;additive;preston;defined;0.18406090967335598;0.4747072731155725;0.002824363869343388
